"45364","# doc = C:\Users\Александр\Desktop\Olesar\LiveCorpus\Опоздавшие(1)\soccer.2.txt","","","","","","","","","","","","","","","","",""
"45365","","","","","","","","","","","","","","","","","",""
"45366","<speech role=""Баик@"" />","","","","","","","","","","","","","","","","",""
"45367","","Здравствуйте","ЗДРАВСТВУЙТЕ","INTJ","","","","   Здравствуйте .  Сейчас","е","т","й","у","в","т","Ь","ЗДРАВСТВОВАТЬ","V","ipf - pl imper - 2p"
"45368","",".",".","PUNCT","SENT","","","  Здравствуйте .  Сейчас время",".","","","","","",".",".","SENT","SENT"
"45369","","","","","","","","","","","","","","","","","",""
"45370","","Сейчас","СЕЙЧАС","ADV","-","","","Здравствуйте .  Сейчас время интересных историй","с","а","ч","й","е","С","С","СЕЙЧАС","ADV","-"
"45371","","время","ВРЕМЯ","S","n inan nom sg","","",".  Сейчас время интересных историй .","я","м","е","р","в","","Я","ВРЕМЯ","S","n inan acc sg"
"45372","","интересных","ИНТЕРЕСНЫЙ","A","- gen pl plen - -","",""," Сейчас время интересных историй . ","х","ы","н","с","е","р","Й","ИНТЕРЕСНЫЙ","A","- gen pl plen - -"
"45373","","историй","ИСТОРИЯ","S","f inan gen pl","","","Сейчас время интересных историй .  Для","й","и","р","о","т","с","Я","ИСТОРИЯ","S","f inan gen pl"
"45374","",".",".","PUNCT","SENT","","","время интересных историй .  Для Максима",".","","","","","",".",".","SENT","SENT"
"45375","","","","","","","","","","","","","","","","","",""
"45376","","Для","ДЛЯ","PR","PR","","","историй .  Для Максима Кима ,","я","л","Д","","","","Я","ДЛЯ","PR","PR"
"45377","","Максима","МАКСИМ","S","persn m anim","","",".  Для Максима Кима , лингвистика","а","м","и","с","к","а","М","МАКСИМ","S","m anim gen sg"
"45378","","Кима","КИМ","S","famn m anim","",""," Для Максима Кима , лингвистика ВШЭ","а","м","и","К","","","М","КИМ","S","m anim gen sg"
"45379","",",",",","PUNCT","","","","",",","","","","","",",",",",",",","
"45380","","лингвистика","ЛИНГВИСТИКА","S","f inan nom sg","","","Максима Кима , лингвистика ВШЭ 2017 .","а","к","и","т","с","и","А","ЛИНГВИСТИКА","S","f inan nom sg"
"45381","","ВШЭ","ВШЭ","S","f inan nom sg","","","Кима , лингвистика ВШЭ 2017 . ","Э","Ш","В","","","","Э","ВШЭ","NONLEX","NONLEX"
"45382","","2017","2017","NUM","- - -","ciph","",", лингвистика ВШЭ 2017 .  Рассказывайте.","7","1","0","2","","","7","2017","NUM","- - -"
"45383","",".",".","PUNCT","SENT","","","лингвистика ВШЭ 2017 .  Рассказывайте. ",".","","","","","",".",".","SENT","SENT"
"45384","","","","","","","","","","","","","","","","","",""
"45385","","Рассказывайте","РАССКАЗЫВАТЬ","V","ipf - pl imper - 2p","","","2017 .  Рассказывайте.   Добрый",".","е","т","й","а","в","Ь","РАССКАЗЫВАТЬ.","V","ipf - pl imper - 2p"
"45386","","","","","","","","","","","","","","","","","",""
"45387","<speech role=""Леха@"" />","","","","","","","","","","","","","","","","",""
"45388","","Добрый","ДОБРЫЙ","A","- nom sg plen m -","","","Рассказывайте.   Добрый вечер , я","й","ы","р","б","о","Д","Й","ДОБРЫЙ","A","- nom sg plen m -"
"45389","","вечер","ВЕЧЕР","S","m inan nom sg","","","  Добрый вечер , я хочу","р","е","ч","е","в","","Р","ВЕЧЕР","S","m inan nom sg"
"45390","",",",",","PUNCT","","","","",",","","","","","",",",",",",",","
"45391","","я","Я","SPRO","sg 1p - nom","","","Добрый вечер , я хочу рассказать про","я","","","","","","Я","Я","SPRO","sg 1p - nom"
"45392","","хочу","ХОТЕТЬ","V","ipf praes sg indic - 1p","","","вечер , я хочу рассказать про свою","у","ч","о","х","","","Ь","ХОТЕТЬ","V","ipf praes sg indic - 1p"
"45393","","рассказать","РАССКАЗАТЬ","V","pf - - inf - -","","",", я хочу рассказать про свою футбольную","ь","т","а","з","а","к","Ь","РАССКАЗАТЬ","V","pf - - inf - -"
"45394","","про","ПРО","PR","PR","","","я хочу рассказать про свою футбольную карьеру","о","р","п","","","","О","ПРО","PR","PR"
"45395","","свою","СВОЙ","APRO","acc sg plen f","","","хочу рассказать про свою футбольную карьеру ,","ю","о","в","с","","","Й","СВОЙ","A","- acc sg plen f -"
"45396","","футбольную","ФУТБОЛЬНЫЙ","A","- acc sg plen f -","","","рассказать про свою футбольную карьеру , которую","ю","у","н","ь","л","о","Й","ФУТБОЛЬНЫЙ","A","- acc sg plen f -"
"45397","","карьеру","КАРЬЕРА","S","f inan acc sg","","","про свою футбольную карьеру , которую я","у","р","е","ь","р","а","А","КАРЬЕРА","S","f inan acc sg"
"45398","",",",",","PUNCT","","","","",",","","","","","",",",",",",",","
"45399","","которую","КОТОРЫЙ","APRO","acc sg plen f -","","","футбольную карьеру , которую я начал в","ю","у","р","о","т","о","Й","КОТОРЫЙ","A","- acc sg plen f -"
"45400","","я","Я","SPRO","sg 1p - nom","","","карьеру , которую я начал в далеком","я","","","","","","Я","Я","SPRO","sg 1p - nom"
"45401","","начал","НАЧАТЬ","V","pf praet sg indic m","","",", которую я начал в далеком 2004","л","а","ч","а","н","","О","НАЧАЛО","S","n inan gen pl"
"45402","","в","В","PR","PR","","","которую я начал в далеком 2004 году","в","","","","","","В","В","PR","PR"
"45403","","далеком","ДАЛЕКИЙ","A","- loc sg plen m -","","","я начал в далеком 2004 году ,","м","о","к","е","л","а","Й","ДАЛЕКИЙ","A","- loc sg plen m -"
"45404","","2004","2004","NUM","- - -","ciph","","начал в далеком 2004 году , и","4","0","0","2","","","4","2004","NUM","- - -"
"45405","","году","ГОД","S","m inan loc2 sg","","","в далеком 2004 году , и которая","у","д","о","г","","","Д","ГОД","S","m inan loc2 sg"
"45406","",",",",","PUNCT","","","","",",","","","","","",",",",",",",","
"45407","","и","И","CONJ","CONJ","","","2004 году , и которая идет по","и","","","","","","И","И","CONJ","CONJ"
"45408","","которая","КОТОРЫЙ","APRO","- nom sg plen f -","","","году , и которая идет по сей","я","а","р","о","т","о","Й","КОТОРЫЙ","A","- nom sg plen f -"
"45409","","идет","ИДТИ","V","ipf praes sg indic - 3p","","",", и которая идет по сей день","т","е","д","и","","","И","ИДТИ","V","ipf praes sg indic - 3p"
"45410","","по","ПО","PR","PR","","","и которая идет по сей день .","о","п","","","","","О","ПО","PR","PR"
